job_id,timestamp,num_shots,central_num_shots,central_entropy,central_entanglement,central_coherence,central_interference,central_bit_balance,inner_num_shots,inner_entropy,inner_entanglement,inner_coherence,inner_interference,inner_bit_balance,middle_num_shots,middle_entropy,middle_entanglement,middle_coherence,middle_interference,middle_bit_balance,outer_num_shots,outer_entropy,outer_entanglement,outer_coherence,outer_interference,outer_bit_balance,job_number,time_minutes
job-d30cfelotchc73ba9icg,2025-09-10 00:35:06.594868+00:00,8192,8192,0.9990064000866055,0.9990064000866055,0.9619338969583916,0.1923867793916783,0.037109375,8192,4.989826486143906,0.9979652972287812,0.19153332018005115,0.9576666009002558,0.040380859375,8192,4.992678402538897,0.9985356805077794,0.19299822449814424,0.9649911224907213,0.03359375,8192,4.952872269659967,0.9905744539319935,0.17957064051112887,0.8978532025556442,0.093603515625,27,74.99666065
job-d30cgsdip27c738idji0,2025-09-10 00:38:09.179998+00:00,8192,8192,0.9989932803450594,0.9989932803450594,0.9616773692384202,0.19233547384768404,0.037353515625,8192,4.986961505970741,0.9973923011941481,0.19168633288575035,0.9584316644287517,0.0390625,8192,4.988951779924624,0.9977903559849247,0.1916264173906204,0.9581320869531019,0.03974609375,8192,4.947937411228592,0.9895874822457185,0.17702405761501044,0.8851202880750522,0.10556640625,28,78.03974615
job-d30ci8qiggks73ctqgng,2025-09-10 00:41:07.839481+00:00,8192,8192,0.9991206029993307,0.9991206029993307,0.9642391952286021,0.19284783904572042,0.034912109375,8192,4.99033340741304,0.998066681482608,0.19185492732718415,0.9592746366359208,0.0388671875,8192,4.989521429153806,0.9979042858307612,0.19193090731871915,0.9596545365935958,0.038330078125,8192,4.959843164396356,0.9919686328792713,0.17993962261457483,0.8996981130728742,0.093017578125,29,81.0174042
job-d30cjliiggks73ctqhv0,2025-09-10 00:44:07.000106+00:00,8192,8192,0.9986978715158521,0.9986978715158521,0.9562727177942314,0.19125454355884627,0.04248046875,8192,4.990516604540102,0.9981033209080203,0.19264173861744255,0.9632086930872127,0.0349609375,8192,4.990064085581743,0.9980128171163486,0.19223442192190293,0.9611721096095147,0.0369140625,8192,4.9580969672891655,0.9916193934578331,0.18070907716129514,0.9035453858064757,0.088818359375,30,84.00341461666667
job-d30cl2lip27c738idnlg,2025-09-10 00:47:06.642359+00:00,8192,8192,0.9990833102819416,0.9990833102819416,0.9634714540072435,0.1926942908014487,0.03564453125,8192,4.990139688719079,0.9980279377438158,0.19264668181097913,0.9632334090548957,0.03486328125,8192,4.989524100880557,0.9979048201761114,0.1920576972268633,0.9602884861343165,0.0376953125,8192,4.9446138706557505,0.9889227741311502,0.17802541424153928,0.8901270712076963,0.09990234375,31,86.99745216666666
job-d30cmgqiggks73ctqkgg,2025-09-10 00:50:11.231719+00:00,8192,8192,0.9991206029993307,0.9991206029993307,0.9642391952286021,0.19284783904572042,0.034912109375,8192,4.985455845661826,0.9970911691323652,0.1910734376160586,0.9553671880802931,0.041845703125,8192,4.989645931962668,0.9979291863925337,0.1932220896348122,0.9661104481740608,0.031884765625,8192,4.946252877551769,0.9892505755103539,0.17670295192050667,0.8835147596025333,0.106884765625,32,90.0739415
job-d30cnt05l4ds73f0hmjg,2025-09-10 00:53:08.542647+00:00,8192,8192,0.9993064117994097,0.9993064117994097,0.9683220577226214,0.19366441154452427,0.031005859375,8192,4.986557278317382,0.9973114556634763,0.19058972535037666,0.9529486267518832,0.044482421875,8192,4.994707383690704,0.9989414767381408,0.1947155456610673,0.9735777283053364,0.025390625,8192,4.937547438289326,0.9875094876578652,0.17408712178906038,0.870435608945302,0.1185546875,33,93.02912363333333
job-d30cp9g5l4ds73f0hnr0,2025-09-10 00:56:06.535447+00:00,8192,8192,0.9981746661076496,0.9981746661076496,0.9479734988180559,0.18959469976361118,0.05029296875,8192,4.990215865279351,0.9980431730558703,0.19219153642078818,0.9609576821039407,0.037158203125,8192,4.986112623472874,0.9972225246945747,0.19045586831495898,0.9522793415747948,0.045068359375,8192,4.855278389124555,0.971055677824911,0.16508894819583864,0.8254447409791933,0.149951171875,34,95.9956703
job-d30cqmlotchc73ba9trg,2025-09-10 00:59:06.735023+00:00,8192,8192,0.9979930635696015,0.9979930635696015,0.9453645231079233,0.18907290462158466,0.052734375,8192,4.989129969068392,0.9978259938136784,0.19348469661293358,0.9674234830646679,0.03046875,8192,4.991263309691227,0.9982526619382455,0.19302151080446545,0.9651075540223271,0.033203125,8192,4.928327929326799,0.9856655858653598,0.1726262364932555,0.8631311824662775,0.12431640625,35,98.99899656666666
job-d30cs3lip27c738idu2g,2025-09-10 01:02:06.968762+00:00,8192,8192,0.9989263899334694,0.9989263899334694,0.960393584853028,0.19207871697060558,0.03857421875,8192,4.983788481593683,0.9967576963187366,0.1911068735529859,0.9555343677649294,0.041357421875,8192,4.9898484593842936,0.9979696918768587,0.19170958797763366,0.9585479398881682,0.039501953125,8192,4.903269019805252,0.9806538039610505,0.1681955347555462,0.8409776737777308,0.142431640625,36,102.00289221666667
job-d30ctg85l4ds73f0hrlg,2025-09-10 01:05:05.871032+00:00,8192,8192,0.9986064918040909,0.9986064918040909,0.9547224174572314,0.19094448349144627,0.0439453125,8192,4.993458347158873,0.9986916694317746,0.1938866248857781,0.9694331244288905,0.029296875,8192,4.990040205048016,0.9980080410096033,0.19299370339914224,0.9649685169957112,0.03310546875,8192,4.933058232410803,0.9866116464821607,0.17420825371136667,0.8710412685568333,0.117138671875,37,104.98459671666666
job-d30cuttotchc73baa1m0,2025-09-10 01:08:07.310438+00:00,8192,8192,0.9987716522219179,0.9987716522219179,0.9575625679383475,0.1915125135876695,0.041259765625,8192,4.989235639996422,0.9978471279992844,0.19090647543587871,0.9545323771793935,0.043408203125,8192,4.993091306718867,0.9986182613437734,0.19495485998557982,0.9747742999278991,0.023876953125,8192,4.927247737735044,0.9854495475470089,0.17433025931459048,0.8716512965729525,0.115478515625,38,108.00858681666666
job-d30d0alip27c738ie1tg,2025-09-10 01:11:06.441353+00:00,8192,8192,0.9994313076328469,0.9994313076328469,0.9713711024624911,0.19427422049249823,0.028076171875,8192,4.989019567262192,0.9978039134524384,0.19206750916075205,0.9603375458037604,0.037548828125,8192,4.990814081922306,0.9981628163844611,0.19278968928175658,0.9639484464087827,0.03427734375,8192,4.944496797324637,0.9888993594649275,0.17739347982432865,0.8869673991216432,0.103076171875,39,110.99410206666667
job-d30d1o5otchc73baa48g,2025-09-10 01:14:08.335908+00:00,8192,8192,0.9978415729996559,0.9978415729996559,0.9432721119762373,0.18865442239524746,0.0546875,8192,4.992197471178903,0.9984394942357806,0.19320389236603508,0.9660194618301754,0.032470703125,8192,4.987989961317527,0.9975979922635053,0.19160895812342404,0.9580447906171201,0.0396484375,8192,4.931499629775599,0.9862999259551198,0.1756268832994693,0.8781344164973465,0.10966796875,40,114.02567798333332
job-d30d34tip27c738ie4eg,2025-09-10 01:17:07.194580+00:00,8192,8192,0.9970915381957525,0.9970915381957525,0.9337995948532487,0.18675991897064975,0.0634765625,8192,4.989084233370698,0.9978168466741396,0.190793494705856,0.9539674735292799,0.0439453125,8192,4.985291011571081,0.9970582023142163,0.19035632671135672,0.9517816335567835,0.04541015625,8192,4.936764008231504,0.9873528016463007,0.17665322928673705,0.8832661464336853,0.105419921875,41,117.00665585
job-d30d4hlotchc73baa6ng,2025-09-10 01:20:06.375651+00:00,8192,8192,0.9982966582956957,0.9982966582956957,0.9497954290474429,0.18995908580948856,0.048583984375,8192,4.987775837529436,0.9975551675058872,0.19107467827598118,0.9553733913799058,0.04228515625,8192,4.989656388107262,0.9979312776214524,0.19202380756106543,0.9601190378053271,0.037890625,8192,4.928625726826055,0.9857251453652109,0.17358966353877783,0.8679483176938891,0.119482421875,42,119.99300703333333
job-d30d5ulotchc73baa7v0,2025-09-10 01:23:06.674360+00:00,8192,8192,0.996229606306102,0.996229606306102,0.9242364511628877,0.18484729023257754,0.072265625,8192,4.990320784856602,0.9980641569713203,0.19307278208442272,0.9653639104221134,0.032763671875,8192,4.990620491149286,0.9981240982298573,0.1928017056932283,0.9640085284661415,0.0341796875,8192,4.949601717479771,0.9899203434959543,0.1777119694774036,0.8885598473870179,0.102392578125,43,122.99798551666666
job-d30d7cqiggks73ctr3l0,2025-09-10 01:26:11.453292+00:00,8192,8192,0.9953126937851,0.9953126937851,0.9151239269518278,0.18302478539036554,0.08056640625,8192,4.987370811454645,0.997474162290929,0.19165336077220732,0.9582668038610365,0.039306640625,8192,4.988757384969835,0.997751476993967,0.1905568909723732,0.952784454861866,0.045068359375,8192,4.922754220339657,0.9845508440679314,0.1712580042435351,0.8562900212176755,0.1302734375,44,126.07763438333333
job-d30d8p5otchc73baaagg,2025-09-10 01:29:08.119819+00:00,8192,8192,0.9953126937851,0.9953126937851,0.9151239269518278,0.18302478539036554,0.08056640625,8192,4.991585479222816,0.9983170958445632,0.1929852237523743,0.9649261187618714,0.033447265625,8192,4.993604525673706,0.9987209051347412,0.19388254758958517,0.9694127379479258,0.029345703125,8192,4.959017833257169,0.9918035666514339,0.18113006347605923,0.9056503173802961,0.086865234375,45,129.0220765
