job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,phase
job-d39hq7gitjus73f8af1g,20250923_222014,c_outer,5,8192,32,0.045166015625,0.9902688554033767,0.968505859375,"[0.891357421875, 0.959228515625, 0.931396484375, 0.980712890625, 0.919677734375]",4.951344277016884,2025-09-23 22:20:14,30.116666666666667,Phase 2
job-d39hq7gitjus73f8af1g,20250923_222014,c_middle,5,8192,32,0.0390625,0.9977803833892944,0.9852294921875,"[0.9580078125, 0.925537109375, 0.9365234375, 0.976318359375, 0.98388671875]",4.988901916946472,2025-09-23 22:20:14,30.116666666666667,Phase 2
job-d39hq7gitjus73f8af1g,20250923_222014,c_inner,5,8192,32,0.05126953125,0.9859795339442755,0.9639892578125,"[0.952392578125, 0.781982421875, 0.85009765625, 0.871337890625, 0.951416015625]",4.929897669721377,2025-09-23 22:20:14,30.116666666666667,Phase 2
job-d39hq7gitjus73f8af1g,20250923_222014,c_central,1,8192,2,0.5250244140625,0.9981923521743996,0.949951171875,[0.949951171875],0.9981923521743996,2025-09-23 22:20:14,30.116666666666667,Phase 2
job-d39hr3gitjus73f8afr0,20250923_222206,c_central,1,8192,2,0.53271484375,0.9969096723426847,0.9345703125,[0.9345703125],0.9969096723426847,2025-09-23 22:22:06,31.983333333333334,Phase 2
job-d39hr3gitjus73f8afr0,20250923_222206,c_inner,5,8192,32,0.0478515625,0.9882931725568929,0.9686279296875,"[0.947265625, 0.80029296875, 0.874755859375, 0.882568359375, 0.975830078125]",4.941465862784464,2025-09-23 22:22:06,31.983333333333334,Phase 2
job-d39hr3gitjus73f8afr0,20250923_222206,c_middle,5,8192,32,0.0396728515625,0.9983402092067314,0.9840087890625,"[0.948974609375, 0.946044921875, 0.953857421875, 0.986572265625, 0.971435546875]",4.991701046033657,2025-09-23 22:22:06,31.983333333333334,Phase 2
job-d39hr3gitjus73f8afr0,20250923_222206,c_outer,5,8192,32,0.0452880859375,0.99048406343103,0.9720458984375,"[0.88525390625, 0.969482421875, 0.9453125, 0.96533203125, 0.915771484375]",4.95242031715515,2025-09-23 22:22:06,31.983333333333334,Phase 2
job-d39hs1g0sqis739anl3g,20250923_222406,c_central,1,8192,2,0.5311279296875,0.9972023982408856,0.937744140625,[0.937744140625],0.9972023982408856,2025-09-23 22:24:06,33.983333333333334,Phase 2
job-d39hs1g0sqis739anl3g,20250923_222406,c_inner,5,8192,32,0.0533447265625,0.9884210399558565,0.9647216796875,"[0.944091796875, 0.795654296875, 0.894287109375, 0.864501953125, 0.9609375]",4.942105199779283,2025-09-23 22:24:06,33.983333333333334,Phase 2
